Film_title;Country;Producer;Genre;Year
"Leon";France;Luc Besson;thriller;1994
"Parasite";Korea;Joon-ho Bong;thriller;2019
"Never Rarely Sometimes Always";Germany;Eliza Hittman;drama;2020
"Mank";USA;David Fincher;comedy;2020
"Tenet";USA;Cristopher Nolan;action;2020
"The invisible man";USA;Leigh Whannell;horror;2020
"Minari";New Zeland;Lee Isaac Chung;drama;2021
"Soul";Ukraine;Pete Docter;drama;2020
"Possessor";USA;Brandon Cronenberg;horror;2020
"On the Rocks";USA;Sofia Coppola;comedy;2020
"Bad Boys for Life";USA;Jerry Bruckheimer;comedy;2020
"Sonic the Hedgehog";USA;Jeff Fowler;action-comedy;2020
"Birds of Prey";USA;Cathy Yan;fantasy;2020
"Dollittle";USA;Stephen Ganghan;fantasy adventure;2020
"The Call of the Wind";USA;Leigh Whannel;horror;2020
"Onward";USA;Dan Scanlon; fantasy adventure;2020
"The Croods: A New Age";USA;Joel Crawford;adventure comedy;2020
"Wonder Woman 1984";USA;Patty Jenkins;fantasy;2020
"Underwater";USA;Willian Eubank;horror;2020
"Like a Boss";USA;Miguel Arteta;comedy;2020
"Three Christs";USA;Jon Avnet;drama;2020
"Inherit the Viper";USA;Anthony Jerjen;crime drama;2020
"The Sonata";USA;Andrew Desmond;thriller;2020
"The Murder of Nicole Brown Simpson";USA;Daniel Farrands;detective;2020
"A Fall from Grace";USA;Tyler Perry;thriller;2020
"The Gentlemen";USA;Guy Ritchie;action comedy;2020
"The Tirning";USA;Floria Sigismondi;horror;2020
"The Last Full Measure";USA;Todd Robbinson;drama;2020
"The Night House";USA;David Bruckner;thriller;2020
"John Henry";USA;Will Forbes;thriller;2020
"The Rhytnm Section";USA;Reed Morano;thriller;2020
"Gretel & Hansel";USA;Oz Perkins;horror;2020
"The Assistant";USA;Kitty Green;drama;2019
"The Lodge";USA;Veronika Franz;horror;2019
"Timmy Failure";USA;Tom McCarthy;comedy;2020
"Horse Girl";USA;Jeff Baena;drama;2020
"To All the Boys: P.S. I Still Love you";USA;Michael Fimognari;comedy;2020
"Fantasy Island";USA;Jeff Wadlow;horror;2020
"The Photograph";USA;Stella Meghie;drama;2020
"Downhill";USA;Nat Faxon;comedy;2020
"Spy Intervention";USA;Drew Mylrea;comedy;2020
"The Kindness of strangers";USA;Lone Scherfig;drama;2019
"The Call of the Wild";USA;Chris Sanders;adventure;2020
"The Last Thing He Wanted";USA;Dee Rees;thriller;2020
"The Night Clerk";USA;Mychael Cristofer;drama;2020
"Wendy";USA;Benh Zeitlin;drama;2020
"The Way Back";USA;Gavin O'Connor;drama;2020
"The Banker";USA;George Nolfi;drama;2020
"Smallow";USA;Carlo Mirabella-Davis;horror;2020


 